; --- SECTION I ---
;
0x40082400            // pix version
0x213a000             // address of implant configuration
0x0   0x08ab8fe0      // allocb
0x1   0x08ab8990      // freeb
0x2   0x08066c90      // open (7.0(+) this is an array for Channel Stuff)
0x3   0x08527110      // ip_put
0x4   0x08066df0      // close
0x5   0x092dd300      // atoip
0x6   0x0931e5ac      // memset
0x7   0x09300a90      // memmove
0x8   0x09300230      // malloc_call_calloc
0x9   0x09300050      // free
0xa   0x08065fe0      // kprintf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000094      // metaframe offset in block structure
0xe   0x00000078      // interface semiphore in metaframe
0xf   0x09302400      // rand
0x15  0x08063590      // process_create
0x16  0x08064a00      // process_suspend
0x17  0x08064fe0      // process_sleep_for
0x18  0x088dd750      // show_process
0x19  0xffffff5c      // offset to security level in int_struct
0x1a  0x00000000      // cur_t
0x1b  0x04            // channel offset in interface struct
0x1c  0x0c            // PUT offset in channel struct
0x1d  0x24            // offset to dest mac in arp structure
0x1e  0x10            // offset to next hop ip in route structure
0x1f  0x20            // size of route struct
0x20  0x08528260      // calc_ip_cksum
0x21  0x08528d30      // arp_loopkup
0x22  0x08527730      // set_block_hdr_mac_and_proto
0x23  0x08539300      // get hardware interface
0x24  0x08853e20      // get next hop
0x25  0x088540e0      // get route
0x26  0x085234c0      // send_it
0x27  0x0852b5f0      // arp_create
0x28  0x08938720      // get_hw_iface_2
0x2a  0x64            // pointer to ethernet frame
0x2b  0x5c            // wptr structure offset
0x2c  0x44            // inIfc (incoming interface) structure offset
0x2e  0x000001ac      // offset from cur_t that contains the current context number
0x2f  0x09e4bee0      // pointer to channnel list
0x30  0x09e3b930      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000018      // offset to IP address in int_struct
0x33  0x00000128      // iface struct adjust from metaframe
0x34  0x09e59cf8      // max number of interface cards
0x35  0x09f78828      // internal_clock
0x36  0x089368b0      // get_interface_mac
0x37  0x000000df      // offset to hardware interface number in interface struct
0x38  0x10            // offset to ip in route structure
0x39  0x00            // offset to interface num in route structure
